"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","response","window_resolution","Effort","all","reliability","order","version","project","deviceID","audioID","sentenceID","Transcription","reliability_distance","Transcription_diff","Effort_diff"
"pavlovia","0","30","0.0-0.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","20917","0.0-1.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","20561.774999834597","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","30883","0.0-2.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","9961.82500012219","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of speech samples. You will be asked to type what you heard the person say and rate how much effort it took to understand the speech. <br> While you do have the option to replay the utterance, please do not press replay unless there was some reason you could not hear the utterance (for example, if there was an unexpected loud noise outside). <br> Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","40091","0.0-3.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","9199.659999925643","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","41565","0.0-4.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","1471.7350001446903",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","51861","0.0-5.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","10285.339999943972","","audio/attention/check1_70.wav","0","1","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","54421","0.0-6.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","2558.339999988675","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","","",""
"fullscreen","7","56704","0.0-9.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","","","","","","","true","","","","","","","","","","","","","","","","",""
"instructions","8","70124","0.0-10.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","13417.685000225902","","","","","","","[{""page_index"":0,""viewing_time"":8346.255000215024},{""page_index"":1,""viewing_time"":2646.0400000214577},{""page_index"":2,""viewing_time"":2424.1450000554323}]","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","71127","0.0-11.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
"html-keyboard-response","10","72929","0.0-12.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-text-response","11","81566","0.0-13.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","8632.125000003725","","./audio/sim_N95-fs_Babble5_CA02_06.wav","","0","","","","","{""Transcription"":""a pot of tea helps to pass the time""}","1440 x 900","","","","","","","","","","","","",""
"html-keyboard-response","12","83370","0.0-14.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-slider-response","13","89891","0.0-15.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","6519","","./audio/sim_N95-fs_Babble5_CA02_06.wav","","0","","","","","","1440 x 900","49","","","","","","","","","","","",""
"html-keyboard-response","14","90394","0.0-16.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","./audio/sim_N95-fs_Babble5_CA02_06.wav","","","","","","null","","","","true","6","1","2","","","","","","","",""
"html-keyboard-response","15","91398","0.0-17.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
"html-keyboard-response","16","93204","0.0-18.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
