"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","response","window_resolution","Effort","all","reliability","order","version","project","deviceID","audioID","sentenceID","Transcription"
"pavlovia","0","4","0.0-0.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","7705","0.0-1.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","7501.699999928474","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","9047","0.0-2.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","1338.8000000715256","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of speech samples. You will be asked to type what you heard the person say and rate how much effort it took to understand the speech. <br> While you do have the option to replay the utterance, please do not press replay unless there was some reason you could not hear the utterance (for example, if there was an unexpected loud noise outside). <br> Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","",""
"survey-text","3","16754","0.0-3.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","7702.199999928474","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","18923","0.0-4.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","2165.600000023842",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","",""
"audio-button-response","5","23145","0.0-5.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","4218.5","","audio/attention/check1_70.wav","0","0","","","","","","","","","","","","","","","",""
"html-button-response","6","53713","0.0-6.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","30565.800000071526","","<p>Please select the sentence you just heard:</p><p></p>","1","","false","","","","","","","","","","","","","","",""
"audio-button-response","7","60256","0.0-7.0-0.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","6534.899999976158","","audio/attention/check2_70.wav","0","1","","","","","","","","","","","","","","","",""
"html-button-response","8","61895","0.0-7.0-1.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","1637.3000000715256","","<p>Please select the sentence you just heard:</p><p></p>","1","","true","","","","","","","","","","","","","","",""
"fullscreen","9","65632","0.0-9.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","","","","","","","true","","","","","","","","","","","","","",""
"instructions","10","77953","0.0-10.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","12319.599999904633","","","","","","","[{""page_index"":0,""viewing_time"":7880.199999928474},{""page_index"":1,""viewing_time"":2725.399999976158},{""page_index"":2,""viewing_time"":1713.1000000238419}]","","","","","","","","","","","","",""
"html-keyboard-response","11","78955","0.0-11.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","",""
"html-keyboard-response","12","80761","0.0-12.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","",""
"audio-text-response","13","91934","0.0-13.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","11164.600000023842","","./audio/sim_sm-fs_Pink0_CA02_10.wav","","0","","","","","{""Transcription"":""na""}","858 x 900","","","","","","","","","",""
"html-keyboard-response","14","93738","0.0-14.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","",""
"audio-slider-response","15","101530","0.0-15.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","7784","","./audio/sim_sm-fs_Pink0_CA02_10.wav","","0","","","","","","858 x 900","100","","","","","","","","",""
"html-keyboard-response","16","102033","0.0-16.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","null","","./audio/sim_sm-fs_Pink0_CA02_10.wav","","","","","","null","","","","true","6","1","2","","","","",""
"html-keyboard-response","17","103038","0.0-17.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","",""
"html-keyboard-response","18","104840","0.0-18.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","",""
"audio-text-response","19","116157","0.0-19.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","11315.799999952316","","./audio/sim_sm-fs_Babble5_CA02_04.wav","","0","","","","","{""Transcription"":""na""}","858 x 900","","","","","","","","","",""
"html-keyboard-response","20","117959","0.0-20.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","",""
"audio-slider-response","21","122117","0.0-21.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","4156","","./audio/sim_sm-fs_Babble5_CA02_04.wav","","0","","","","","","858 x 900","82","","","","","","","","",""
"html-keyboard-response","22","122621","0.0-22.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","null","","./audio/sim_sm-fs_Babble5_CA02_04.wav","","","","","","null","","","","true","","2","2","","","","",""
"html-keyboard-response","23","123625","0.0-23.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","",""
"html-keyboard-response","24","125431","0.0-24.0","Chrome","91.0","macOS","10.13.6","1440 x 900","kn","kj ","kj","kj","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","",""
