"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","Quality","window_resolution","Loudness","all","reliability","order","version","project","deviceID","audioID","sentenceID","reliability_distance","Quality_diff","Loudness_diff"
"pavlovia","0","51","0.0-0.0","Chrome","87.0","macOS","11.0.1","1440 x 900","601785dd817de29d1f1cf000","30","No","Yes","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","40934","0.0-1.0","Chrome","87.0","macOS","11.0.1","1440 x 900","601785dd817de29d1f1cf000","30","No","Yes","40695.60500001535","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","47385","0.0-2.0","Chrome","87.0","macOS","11.0.1","1440 x 900","601785dd817de29d1f1cf000","30","No","Yes","6438.309999997728","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of amplified speech samples. You will rate the speech along a scale with anchors. Feel free to use as much or as little of the scale as you feel is appropriate. Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","",""
"survey-text","3","68328","0.0-3.0","Chrome","87.0","macOS","11.0.1","1440 x 900","601785dd817de29d1f1cf000","30","No","Yes","20918.155000021216","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","123557","0.0-4.0","Chrome","87.0","macOS","11.0.1","1440 x 900","601785dd817de29d1f1cf000","30","No","Yes","55223.59500004677",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","169904","0.0-5.0","Chrome","87.0","macOS","11.0.1","1440 x 900","601785dd817de29d1f1cf000","30","No","Yes","46323.440000007395","","audio/attention/check1_70.wav","0","1","","","","","","","","","","","","","","","","","",""
"html-button-response","6","172510","0.0-6.0","Chrome","87.0","macOS","11.0.1","1440 x 900","601785dd817de29d1f1cf000","30","No","Yes","2592.7950000041164","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","",""
"fullscreen","7","174512","0.0-9.0","Chrome","87.0","macOS","11.0.1","1440 x 900","601785dd817de29d1f1cf000","30","No","Yes","","","","","","","true","","","","","","","","","","","","","","","",""
"instructions","8","206132","0.0-10.0","Chrome","87.0","macOS","11.0.1","1440 x 900","601785dd817de29d1f1cf000","30","No","Yes","31618.024999974295","","","","","","","[{""page_index"":0,""viewing_time"":11424.239999963902},{""page_index"":1,""viewing_time"":17916.109999991022},{""page_index"":2,""viewing_time"":2268.740000028629}]","","","","","","","","","","","","","","",""
"html-keyboard-response","9","207136","0.0-11.0","Chrome","87.0","macOS","11.0.1","1440 x 900","601785dd817de29d1f1cf000","30","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","10","208938","0.0-12.0","Chrome","87.0","macOS","11.0.1","1440 x 900","601785dd817de29d1f1cf000","30","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","11","212897","0.0-13.0","Chrome","87.0","macOS","11.0.1","1440 x 900","601785dd817de29d1f1cf000","30","No","Yes","3936","","audio/KAmp_Sonivox_MAX_1.wav","","0","","","","","0","1440 x 900","","","","","","","","","","","",""
